Column,Missing Values,% Missing
weekly_icu_admissions,418442,97.44012481516411
weekly_icu_admissions_per_million,418442,97.44012481516411
excess_mortality,416024,96.8770593919918
excess_mortality_cumulative_absolute,416024,96.8770593919918
excess_mortality_cumulative,416024,96.8770593919918
excess_mortality_cumulative_per_million,416024,96.8770593919918
weekly_hosp_admissions,404938,94.29552784472621
weekly_hosp_admissions_per_million,404938,94.29552784472621
icu_patients_per_million,390319,90.891287389244
icu_patients,390319,90.891287389244
hosp_patients_per_million,388779,90.53267665653708
hosp_patients,388779,90.53267665653708
total_boosters_per_hundred,375835,87.5184835889017
total_boosters,375835,87.5184835889017
new_vaccinations,358464,83.47340109678997
new_tests,354032,82.44134735175288
new_tests_per_thousand,354032,82.44134735175288
people_fully_vaccinated_per_hundred,351374,81.8223945416652
people_fully_vaccinated,351374,81.8223945416652
total_tests,350048,81.51361672895781
total_tests_per_thousand,350048,81.51361672895781
people_vaccinated_per_hundred,348303,81.10726885326068
people_vaccinated,348303,81.10726885326068
total_vaccinations,344018,80.10944613270927
total_vaccinations_per_hundred,344018,80.10944613270927
tests_per_case,335087,78.02973674712122
positive_rate,333508,77.66204431404054
new_tests_smoothed_per_thousand,325470,75.79028258060009
new_tests_smoothed,325470,75.79028258060009
tests_units,322647,75.1329071920081
handwashing_facilities,267694,62.336325637174426
reproduction_rate,244618,56.96275338526203
new_people_vaccinated_smoothed,237258,55.24887351985749
new_people_vaccinated_smoothed_per_hundred,237258,55.24887351985749
new_vaccinations_smoothed_per_million,234406,54.58474507201323
new_vaccinations_smoothed,234406,54.58474507201323
stringency_index,233245,54.314389837810154
extreme_poverty,217439,50.633739681209036
male_smokers,185618,43.223770768568
female_smokers,182270,42.44414172109865
hospital_beds_per_thousand,138746,32.30896410399711
human_development_index,110308,25.68677448275059
aged_65_older,106165,24.722018466124094
gdp_per_capita,101143,23.55257489492007
cardiovasc_death_rate,100570,23.419143758659633
aged_70_older,98120,22.84862668389861
median_age,94772,22.06899763642926
diabetes_prevalence,83524,19.449742102995796
population_density,68943,16.054350483775192
life_expectancy,39136,9.113369892998941
continent,26525,6.176720574708629
new_cases_smoothed,20506,4.77511148369369
new_cases_smoothed_per_million,20506,4.77511148369369
new_deaths_smoothed,20057,4.670555497339528
new_deaths_smoothed_per_million,20057,4.670555497339528
new_cases,19276,4.488688625752442
new_cases_per_million,19276,4.488688625752442
new_deaths,18827,4.384132639398279
new_deaths_per_million,18827,4.384132639398279
total_deaths_per_million,17631,4.105627161270041
total_cases,17631,4.105627161270041
total_deaths,17631,4.105627161270041
total_cases_per_million,17631,4.105627161270041
location,0,0.0
iso_code,0,0.0
date,0,0.0
population,0,0.0
